"bio_01";"bio_02";"bio_03";"bio_04";"bio_05";"bio_06";"bio_07";"bio_08";"bio_09";"bio_10";"bio_11";"bio_12";"bio_13";"bio_14";"bio_15";"bio_16";"bio_17";"bio_18";"bio_19"
"bio_01";1;-0.39;-0.34;-0.23;0.94;0.92;-0.38;0.97;0.99;1;0.99;-0.66;-0.72;0.1;-0.49;-0.74;0.05;-0.69;-0.07
"bio_02";-0.39;1;0.83;0.7;-0.08;-0.7;0.98;-0.32;-0.47;-0.37;-0.47;0.39;0.73;-0.64;0.92;0.69;-0.61;0.54;-0.56
"bio_03";-0.34;0.83;1;0.23;-0.12;-0.56;0.72;-0.34;-0.38;-0.36;-0.38;0.21;0.55;-0.6;0.77;0.5;-0.6;0.33;-0.52
"bio_04";-0.23;0.7;0.23;1;0.03;-0.51;0.81;-0.08;-0.35;-0.18;-0.34;0.46;0.6;-0.33;0.65;0.61;-0.28;0.58;-0.3
"bio_05";0.94;-0.08;-0.12;0.03;1;0.76;-0.06;0.94;0.9;0.95;0.9;-0.54;-0.5;-0.09;-0.21;-0.54;-0.12;-0.53;-0.22
"bio_06";0.92;-0.7;-0.56;-0.51;0.76;1;-0.7;0.87;0.96;0.91;0.96;-0.67;-0.84;0.33;-0.75;-0.85;0.28;-0.76;0.18
"bio_07";-0.38;0.98;0.72;0.81;-0.06;-0.7;1;-0.29;-0.48;-0.35;-0.47;0.43;0.74;-0.61;0.91;0.71;-0.56;0.57;-0.53
"bio_08";0.97;-0.32;-0.34;-0.08;0.94;0.87;-0.29;1;0.95;0.98;0.95;-0.51;-0.6;0.15;-0.43;-0.61;0.1;-0.53;-0.02
"bio_09";0.99;-0.47;-0.38;-0.35;0.9;0.96;-0.48;0.95;1;0.98;1;-0.68;-0.77;0.16;-0.57;-0.79;0.11;-0.73;0
"bio_10";1;-0.37;-0.36;-0.18;0.95;0.91;-0.35;0.98;0.98;1;0.99;-0.63;-0.7;0.11;-0.48;-0.72;0.06;-0.66;-0.06
"bio_11";0.99;-0.47;-0.38;-0.34;0.9;0.96;-0.47;0.95;1;0.99;1;-0.68;-0.77;0.16;-0.57;-0.79;0.11;-0.73;0
"bio_12";-0.66;0.39;0.21;0.46;-0.54;-0.67;0.43;-0.51;-0.68;-0.63;-0.68;1;0.85;0.29;0.38;0.91;0.34;0.95;0.39
"bio_13";-0.72;0.73;0.55;0.6;-0.5;-0.84;0.74;-0.6;-0.77;-0.7;-0.77;0.85;1;-0.2;0.79;0.98;-0.16;0.9;-0.08
"bio_14";0.1;-0.64;-0.6;-0.33;-0.09;0.33;-0.61;0.15;0.16;0.11;0.16;0.29;-0.2;1;-0.74;-0.12;0.98;0.05;0.95
"bio_15";-0.49;0.92;0.77;0.65;-0.21;-0.75;0.91;-0.43;-0.57;-0.48;-0.57;0.38;0.79;-0.74;1;0.72;-0.72;0.56;-0.64
"bio_16";-0.74;0.69;0.5;0.61;-0.54;-0.85;0.71;-0.61;-0.79;-0.72;-0.79;0.91;0.98;-0.12;0.72;1;-0.07;0.96;0
"bio_17";0.05;-0.61;-0.6;-0.28;-0.12;0.28;-0.56;0.1;0.11;0.06;0.11;0.34;-0.16;0.98;-0.72;-0.07;1;0.1;0.97
"bio_18";-0.69;0.54;0.33;0.58;-0.53;-0.76;0.57;-0.53;-0.73;-0.66;-0.73;0.95;0.9;0.05;0.56;0.96;0.1;1;0.16
"bio_19";-0.07;-0.56;-0.52;-0.3;-0.22;0.18;-0.53;-0.02;0;-0.06;0;0.39;-0.08;0.95;-0.64;0;0.97;0.16;1
